State	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Hawaii	642	641	639	637	634	633	633	633	633	632	637	633	631	630	630	629	628	627	627	624	623	621	620	619	619	616	615	612	611	611	610	609	605	602	600	599	597	595	590	586	580	578	574	568	547	535	524	511	502	497	484	463	440	433	408	385	369	349	317	283	258	224	204	175	151	120	106	95	90	77	56	48	37	26	16	14	10	7	4	2	2	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Idaho	2855	2840	2804	2770	2731	2699	2664	2650	2626	2595	2534	2506	2476	2455	2421	2419	2389	2352	2325	2294	2261	2232	2230	2205	2178	2158	2127	2106	2059	2061	2035	2016	1984	1952	1917	1897	1887	1870	1836	1802	1766	1736	1672	1668	1655	1609	1587	1538	1499	1457	1438	1425	1366	1232	1210	1170	1100	1076	1012	890	669	526	415	310	261	231	189	123	73	50	47	42	31	23	11	9	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Illinois	120588	119290	117794	116128	114612	113486	112248	110541	108100	105710	102995	100713	98298	96778	94360	92669	90528	88081	84874	83168	79123	77662	76008	73688	70802	68164	65889	63840	61499	58505	56055	52918	50355	48102	45883	43903	41777	39658	36935	35108	33059	31508	30357	29160	27575	25734	24593	23247	22025	20852	19180	17887	16422	15078	13549	12262	11276	10357	8904	7695	6978	5992	5070	4613	3547	3029	2538	1874	1535	1285	1047	751	583	420	286	159	104	94	66	46	32	25	19	11	7	6	6	5	4	4	4	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	0	0
Indiana	35429	35064	34399	33885	33242	32856	32489	32151	31674	31165	30673	29986	29402	28897	28419	27919	27281	26627	26044	25676	25134	24633	24239	23620	22942	22286	21423	20855	20267	19629	18941	18099	17409	16783	16137	15012	14395	13680	13039	12438	12097	11686	11210	10641	10154	9542	8955	8527	8236	7928	7435	6907	6351	5943	5507	4956	4413	3955	3439	3040	2564	2159	1788	1514	1232	982	656	479	366	259	201	126	79	56	39	30	24	19	15	12	12	11	6	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iowa	19621	19336	19019	18672	18446	17999	17628	17434	16898	16510	16170	15868	15296	14955	14651	14328	14049	13675	13289	12912	12373	11959	11671	11457	11059	10404	10111	9703	9169	8641	7883	7145	6843	6376	5868	5490	5109	4459	3939	3764	3641	3175	2915	2513	2332	2141	1995	1899	1710	1587	1510	1388	1270	1145	1048	946	868	786	699	614	549	498	424	336	298	235	179	145	124	105	90	68	45	44	38	29	22	22	18	17	16	14	13	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kansas	9878	9847	9826	9512	9453	9352	9272	9135	9119	9068	8771	8661	8488	8439	8066	8059	8006	7668	7552	7352	7161	7045	6923	6751	6240	5893	5627	5385	5177	4863	4510	4305	3811	3601	3406	3197	3090	2841	2625	2290	2113	2029	1896	1818	1730	1593	1501	1438	1382	1337	1282	1180	1116	1055	905	854	767	702	624	554	488	434	373	332	271	212	171	132	99	82	66	57	49	35	22	17	11	9	8	6	5	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kentucky	9937	9887	9688	9510	9313	9175	8899	8842	8812	8688	8475	8336	8205	8041	7793	7773	7578	7397	7102	7003	6710	6486	6469	6298	6173	5946	5822	5370	5223	4881	4879	4708	4538	4375	4146	4074	3905	3779	3548	3373	3193	3050	2960	2707	2522	2429	2295	2210	2048	1963	1851	1702	1525	1393	1289	1057	1048	909	762	747	674	590	480	439	394	302	248	198	157	124	103	84	63	47	35	26	22	21	18	11	11	7	7	5	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana	40021	39682	38907	38907	38694	38252	37916	37293	37165	37048	36627	35439	35161	34832	34498	34183	33903	33555	32728	32116	31881	31673	31490	30928	30725	30472	30069	29746	29383	29183	28754	28044	27703	27329	27111	26832	26571	26199	25798	25317	24854	24523	23928	23580	23118	22532	21951	21518	21016	20595	20014	19253	18283	17030	16284	14867	13014	12500	10299	9152	6424	5237	4024	3539	3315	2746	2305	1795	1388	1172	837	763	537	392	280	196	137	103	77	36	14	13	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maine	2325	2282	2226	2189	2137	2109	2074	2055	2013	1948	1877	1819	1741	1713	1687	1648	1603	1565	1515	1477	1462	1436	1408	1374	1330	1254	1226	1205	1185	1152	1123	1095	1056	1040	1023	1015	990	965	937	907	888	875	867	847	827	796	770	734	698	633	616	586	560	537	519	499	470	456	432	376	344	303	275	253	211	168	155	142	118	107	89	70	57	52	43	32	17	12	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maryland	53456	52662	51631	50334	49042	48290	47754	46919	45608	44539	43645	42442	41664	39882	38920	38083	37105	36021	34927	34174	33483	32693	31638	30592	29476	28263	27217	26509	25561	24568	23566	21825	20942	20200	19574	18664	17844	16693	15805	14842	14261	13750	12892	12379	11641	10851	10096	9472	8936	8225	7694	6968	6185	5529	4371	4045	3609	3125	2758	2331	1985	1662	1414	1244	1066	775	581	423	349	290	245	195	150	108	85	57	39	32	27	18	13	13	9	6	5	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
