State	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Hawaii	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	16	16	16	16	16	16	14	13	13	12	12	10	10	10	9	9	9	9	9	9	9	8	6	6	5	5	5	4	3	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Idaho	82	82	82	82	81	79	79	79	79	79	77	77	74	74	73	73	72	72	69	69	70	67	67	67	67	66	65	64	64	64	63	60	60	60	56	56	56	54	54	51	48	45	44	43	41	41	39	33	27	27	25	24	18	15	13	10	10	10	9	9	9	8	6	5	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Illinois	5390	5330	5270	5186	5083	4923	4885	4856	4790	4715	4607	4525	4379	4234	4177	4129	4059	3928	3792	3601	3459	3406	3349	3241	3111	2974	2834	2659	2618	2559	2457	2355	2215	2125	1983	1933	1875	1795	1688	1565	1468	1349	1290	1259	1132	1072	949	868	798	720	677	597	528	462	380	307	274	244	210	163	141	99	73	66	47	34	26	19	16	12	9	6	5	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indiana	2134	2125	2110	2068	2030	2004	1984	1976	1964	1941	1913	1864	1824	1765	1751	1741	1691	1646	1619	1578	1540	1508	1490	1447	1414	1377	1211	1151	1132	1115	1175	1114	964	901	844	813	786	741	706	666	635	577	562	545	522	477	436	387	350	343	330	300	245	203	173	143	127	116	102	78	65	49	35	32	31	25	17	14	12	7	6	4	3	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iowa	535	531	524	506	496	477	456	456	446	424	410	393	367	355	351	346	336	318	306	289	271	265	252	243	231	219	207	188	184	175	170	162	148	136	127	118	112	107	96	90	83	79	75	74	64	60	53	49	41	41	34	31	29	27	25	25	18	14	11	11	9	7	6	4	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kansas	215	215	215	214	213	210	207	205	205	205	204	202	199	198	195	195	193	189	188	184	180	174	174	168	165	164	161	156	144	142	140	134	134	127	126	121	120	118	113	112	109	102	93	85	82	80	71	69	62	56	55	42	42	34	29	25	22	21	18	12	10	9	8	7	4	4	3	3	2	2	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kentucky	431	431	418	409	400	394	391	391	391	391	386	376	366	346	334	334	332	328	321	321	311	304	304	298	294	283	275	261	253	248	246	240	234	225	213	208	205	200	191	185	171	154	146	144	137	129	115	106	113	97	90	90	73	65	65	45	45	40	34	31	18	11	11	9	9	7	5	5	4	4	3	3	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana	2791	2786	2767	2741	2723	2702	2691	2691	2668	2668	2629	2608	2581	2563	2491	2479	2448	2417	2381	2347	2308	2286	2267	2227	2208	2167	2115	2064	2012	1993	1970	1905	1845	1801	1740	1729	1707	1660	1599	1473	1405	1328	1296	1267	1213	1156	1103	1013	884	840	806	755	702	652	582	512	477	409	370	310	273	239	185	151	137	119	83	65	46	35	20	20	14	10	6	4	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maine	89	89	85	84	81	79	78	78	77	75	73	73	73	71	70	70	69	69	66	65	65	64	64	63	62	62	61	57	57	56	55	53	52	51	51	50	47	47	44	39	36	35	34	32	29	27	24	20	19	19	19	17	16	14	12	10	10	10	9	7	5	5	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maryland	2532	2509	2466	2428	2392	2333	2302	2277	2243	2207	2159	2123	2081	2023	1992	1957	1911	1866	1809	1756	1683	1644	1614	1560	1503	1437	1390	1317	1281	1251	1080	1140	1078	1016	945	910	875	798	748	698	652	582	461	421	334	319	311	302	262	236	206	171	138	124	103	91	67	54	43	36	31	18	15	10	5	5	4	4	4	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
