26,39,32
63,73,66
66,57,63
63,57,47
104,98,93
104,111,98
117,111,104
112,117,104
104,99,112
93,99,104
242,231,237
256,246,242
242,249,256
242,237,249
236,240,229
246,240,236
236,242,246
231,242,236
231,236,225
229,221,225
225,236,229
217,205,214
206,221,214
214,198,206
205,198,214
214,228,217
214,221,228
203,191,192
192,205,203
191,181,192
192,198,205
218,212,207
207,211,218
227,231,220
220,216,227
231,225,220
208,216,220
230,238,226
219,212,226
218,230,226
226,212,218
249,237,244
244,238,251
244,259,249
244,251,259
251,238,243
243,257,251
243,252,257
243,234,241
241,252,243
243,230,234
243,238,230
209,201,196
183,189,196
176,189,183
184,169,178
197,189,184
184,176,169
189,176,184
178,190,184
184,190,197
197,190,200
200,207,197
211,207,200
204,211,200
195,204,200
200,190,195
140,154,146
153,139,146
92,89,97
97,103,92
109,103,97
97,108,109
183,196,188
188,196,201
179,166,174
174,166,159
183,188,175
175,188,180
199,206,193
206,198,193
109,120,123
123,120,133
133,129,123
114,127,119
114,119,106
114,106,102
102,107,114
115,123,129
109,123,115
115,103,109
107,103,115
43,32,39
38,32,43
48,39,44
44,54,48
48,43,39
53,43,48
76,71,84
76,88,82
84,88,76
47,45,55
55,63,47
181,170,182
182,192,181
197,207,202
202,207,212
202,189,197
202,212,209
209,196,202
202,196,189
208,220,215
215,206,199
199,208,215
215,220,225
215,221,206
215,225,221
232,226,238
232,237,227
227,219,232
219,226,232
232,244,237
238,244,232
132,146,139
132,139,126
132,127,140
140,146,132
126,119,132
119,127,132
145,159,152
159,166,152
152,138,145
144,138,152
158,170,157
158,152,166
144,152,158
158,157,149
149,144,158
180,188,194
194,188,201
194,208,199
194,201,208
168,176,183
183,175,168
167,175,180
180,174,167
167,159,153
167,174,159
186,174,180
180,194,186
179,174,186
186,193,179
199,193,186
186,194,199
121,129,135
121,115,129
135,127,121
127,114,121
121,114,107
107,115,121
60,48,54
64,71,60
60,54,64
53,48,60
49,55,45
49,43,53
49,45,38
38,43,49
63,55,67
67,77,73
73,63,67
179,193,187
187,193,198
198,192,187
192,182,187
173,166,179
179,187,173
173,187,182
173,158,166
173,182,170
170,158,173
162,154,147
162,168,154
162,147,155
176,168,162
155,169,162
169,176,162
175,167,161
154,168,161
161,168,175
161,146,154
153,146,161
161,167,153
72,76,82
82,77,72
77,67,72
76,72,65
71,76,65
65,60,71
53,60,65
61,67,55
61,72,67
55,49,61
61,65,72
61,49,53
53,65,61
